Fcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
129005,海蜇头,0.2,0.1,0.1,0,,1.4
129006,墨鱼[曼氏无针乌贼],0.6,0.3,0.1,0.3,9.7,24.8
129009,鱿鱼(干)[台湾枪乌贼],3.2,3.2,,,,
129010,鱿鱼(水浸),0.6,0.3,0.2,,,
133002,钙质糕粉,,,,,,
133003,健儿粉,,,,,,
141002,白水羊头,10.1,4.8,4.7,0.7,,
141004,炒肝,5.9,3,2.3,0.6,,
142106,奶油蛋糕,9.3,4.2,3.7,1.4,,
142310,黑洋酥,,,,,,
142315,金钱酥,15.5,3.7,6.6,5.1,,
152301,面包(均值),3.4,0.3,1.8,1.2,,
152307,乐斯美面包,1.9,0.4,0.8,0.7,,
152401,饼干(均值),8.5,1.4,1.3,5.8,,
152402,VC饼干,26.6,3.9,9.1,13.7,,
152406,钙奶饼干,8.8,0.8,6.5,1.5,,
153003,马铃薯片(油炸)[油炸土豆片],,,,,,
162002,浓缩橘汁,0.2,0.1,0.1,0,,
164002,喜乐(乳酸饮料),,,,,,
166101,茶砖[砖茶],3.2,1.7,1.3,0.2,,
167004,可可粉,7.9,4.6,3,0.3,,
182008,巧克力(酒芯),,,,,,
191001,牛油,88,54.4,29.9,4,,
191003,鸭油(炼),95.3,27.9,53.1,14.3,,
191004,羊油,84.1,48.2,30.4,4.5,,
191007,猪油(炼),95.2,41.1,45.6,8.5,,
192001,菜籽油[青油],95.5,12.6,56.2,23.7,,
192002,茶油,95.5,9.6,75.3,10.6,,
192003,大麻油,95.5,14,39.4,43.1,,
192004,豆油,95.5,15.2,23.6,55.8,,
192006,胡麻油,95.6,9.1,17,69.8,,
192007,花生油,95.5,17.7,39,36.6,,
192008,混合油(菜+棕),95.5,19.3,52.7,23.3,,
192009,葵花籽油,95.5,13.4,18.4,65.2,0.6,
192010,辣椒油,95.6,36.7,33.2,25.4,,
192013,棉籽油,95.4,23.2,25.8,42.6,,
192014,色拉油,95.4,13.7,43,39.3,,
192016,玉米油,94.8,13.8,26.3,54.1,,
192017,芝麻油[香油],95.3,13.4,37.6,44.2,,
192018,棕榈油,95.6,41.5,42.4,11.6,,
203103,豆瓣辣酱,,,,,,
203114,芝麻酱,50.4,7,19,24,,
204001,腐乳(白)[酱豆腐],7.6,1.2,1.7,4.7,,
204002,腐乳(臭)[臭豆腐],7.3,1.2,1.6,4.6,,
204003,腐乳(红)[酱豆腐],7.5,1.2,1.7,4.6,,
211001,白芷,,,,,,
211007,陈皮,,,,,,
211011,甘草,,,,,,
211015,菊花[怀菊花],,,,,,
211019,木榧[园榧],,,,,,
211022,砂仁,,,,,,
211024,乌梅,,,,,,
211029,茯苓,,,,,,
211030,藿香,,,,,,
211033,枸杞子,,,,,,
219001,甲鱼[鳖],,,,,1.4,
219002,田鸡[青蛙],,,,,1.2,2.3
219003,田鸡腿[青蛙腿],,,,,2.3,4.6
219004,中国鲎[水鳖子],,,,,12.2,3.7
219006,饭铲头蛇,,,,,0.5,1.5
219007,过树榕蛇,,,,,,
219008,锦蛇,,,,,0.9,0.5
219009,三索线蛇,,,,,,
219010,水蛇,,,,,1.1,3.5
219011,蚕蛹,,,,,,
