"Fcode","cmfp","dash","ahei","edible","water","kcal","kj","prot","fat","cho","fiber","sodium","Total","SFA","MUFA","PUFA","EPA","DHA"
162001,0,12,6,100,76.4,95,397,0.1,0.2,23.2,0,4.4,0,0,0,0,0,0
162002,0,12,6,100,41.3,235,983,0.8,0.3,57.3,0,4.4,0.2,0.1,0.1,0,0,0
162003,0,12,6,100,92.5,30,126,0.1,0,7.4,0,4.2,0,0,0,0,0,0
162004,0,12,6,100,70.1,119,498,0,0.1,29.6,0,18.6,0,0,0,0,0,0
162005,0,12,6,100,91.9,32,134,0,0,8.1,0,4.4,0,0,0,0,0,0
162006,0,12,6,100,83.1,64,268,0.4,0.1,16,0.6,3,0,0,0,0,0,0
162007,0,12,6,100,61,157,657,0,0.2,38.7,0,19.1,0,0,0,0,0,0
162008,0,12,6,100,93.1,26,109,0.9,0.2,5.5,0.3,1.2,0,0,0,0,0,0
162009,0,12,6,100,87.5,44,184,0.9,0.5,10.6,1.7,5.4,0,0,0,0,0,0
162010,0,12,6,100,66,133,556,0.2,0.1,32.8,0,24.3,0,0,0,0,0,0
162011,0,12,6,100,86.3,48,201,2.6,0,9.3,0,396.8,0,0,0,0,0,0
163001,0,12,6,100,67.1,130,544,0.1,0.2,32.5,0.5,72.5,0,0,0,0,0,0
164001,0,12,6,100,95.5,20,84,0.9,0.8,2.4,0,37.4,0,0,0,0,0,0
164002,0,12,6,100,86.8,53,222,0.9,0.2,11.8,0,53.8,0,0,0,0,0,0
165001,0,12,6,100,90.4,39,163,2.9,0.5,5.8,0,25.4,0,0,0,0,0,0
165002,0,12,6,100,89.7,46,192,0.9,1.1,8.1,0,9.2,0,0,0,0,0,0
166101,0,0,0,100,7.8,206,862,14.5,4,66.7,38.8,15.1,3.2,1.7,1.3,0.2,0,0
166102,0,0,0,100,6.6,244,1021,15.1,4,68.9,32.1,84.6,0,0,0,0,0,0
166103,0,0,0,100,7.3,294,1230,26.7,1.1,59.2,14.8,13.6,0,0,0,0,0,0
166104,0,0,0,100,7.4,281,1176,27.1,1.2,58.1,17.7,8,0,0,0,0,0,0
166105,0,0,0,100,6.1,309,1293,33.3,2.7,48.9,11.1,54.4,0,0,0,0,0,0
166106,0,0,0,100,7.5,296,1238,34.2,2.3,50.3,15.6,28.2,0,0,0,0,0,0
166107,0,0,0,100,6.4,320,1339,10.5,2.9,74.2,11.2,36.6,0,0,0,0,0,0
166108,0,0,0,100,3.6,286,1197,25.8,1.9,59.1,17.7,0,0,0,0,0,0,0
166109,0,0,0,100,6.2,304,1272,22.8,1.3,65,14.7,7.8,0,0,0,0,0,0
166110,0,0,0,100,5.3,305,1276,28.7,1.7,58.3,14.6,13.3,0,0,0,0,0,0
166201,0,0,0,100,99.8,0,0,0.1,0,0,0,3.9,0,0,0,0,0,0
167001,0,11,0,100,2.1,390,1632,0.2,0,97.3,0,22.6,0,0,0,0,0,0
167002,0,11,0,100,2.5,396,1657,14.5,3.5,76.7,0,180.6,0,0,0,0,0,0
167003,0,11,0,100,2.2,391,1636,0.2,0,97.5,0,10.7,0,0,0,0,0,0
167004,0,11,0,100,7.5,320,1339,20.9,8.4,54.5,14.3,23,7.9,4.6,3,0.3,0,0
167005,0,11,0,100,2,429,1795,8.5,9.7,77,0,177.8,0,0,0,0,0,0
167006,0,11,0,100,3.6,386,1615,0.1,0.2,95.9,0,57.7,0,0,0,0,0,0
167007,0,11,0,100,1.2,394,1648,0.2,0,98.4,0,11.5,0,0,0,0,0,0
167008,0,11,0,100,3.7,385,1611,0.3,0,95.9,0,6.2,0,0,0,0,0,0
167009,0,11,0,100,2.2,390,1632,0.4,0,97.1,0,2.2,0,0,0,0,0,0
167010,0,11,0,100,2.8,390,1632,0.2,0.4,96.5,0,33,0,0,0,0,0,0
168001,0,0,0,100,88.3,47,197,0.8,0.2,10.5,0,20.4,0,0,0,0,0,0
168002,0,0,0,100,69.6,153,640,2.9,6.8,20,0,43.5,0,0,0,0,0,0
168003,0,0,0,100,74.4,127,531,2.4,5.3,17.3,0,54.2,0,0,0,0,0,0
168004,0,0,0,100,82.2,74,310,2.2,0.9,14.3,0,83.5,0,0,0,0,0,0
168005,0,0,0,100,64,169,707,7.4,5.6,22.2,0,179.5,0,0,0,0,0,0
168006,0,0,0,100,69.7,137,573,2.3,3.6,23.9,0,51.1,0,0,0,0,0,0
168007,0,0,0,100,55.8,215,900,9.8,8.6,24.6,0,199.8,0,0,0,0,0,0
168008,0,0,0,100,59.4,228,954,2.6,13.7,23.6,0,65.9,0,0,0,0,0,0
169001,0,12,0,100,91.8,33,138,0,0,8.2,0,10.3,0,0,0,0,0,0
171101,0,0,5,100,95.1,32,134,0.4,0,0,0,11.4,0,0,0,0,0,0
171102,0,0,5,100,94.9,32,138,0.4,0,0,0,0,0,0,0,0,0,0
171103,0,0,5,100,94.7,35,146,0.4,0,0,0,2.5,0,0,0,0,0,0
171104,0,0,5,100,97.4,16,63,0.4,0,0,0,2.6,0,0,0,0,0,0
171105,0,0,5,100,95.8,28,109,0.4,0,0,0,0,0,0,0,0,0,0
171106,0,0,5,100,95.8,25,109,0.5,0,0,0,44.9,0,0,0,0,0,0
171107,0,0,5,100,94.8,34,142,0.4,0,0,0,14.2,0,0,0,0,0,0
171108,0,0,5,100,94.6,36,151,0.5,0,0,0,24.9,0,0,0,0,0,0
171109,0,0,5,100,93.8,35,146,0.4,0,0,0,4.3,0,0,0,0,0,0
171110,0,0,5,100,95.5,30,126,0.4,0,0,0,4.3,0,0,0,0,0,0
171111,0,0,5,100,88.8,77,322,0.3,0,0,0,1.7,0,0,0,0,0,0
171112,0,0,5,100,97.1,19,75,0.3,0,0,0,0.9,0,0,0,0,0,0
171113,0,0,5,100,95.2,32,142,0.3,0,0,0,25,0,0,0,0,0,0
171114,0,0,5,100,97.1,19,75,0.3,0,0,0,4.2,0,0,0,0,0,0
171201,0,0,5,100,89.6,72,301,0.1,0,0,0,1.6,0,0,0,0,0,0
171202,0,0,5,100,90.4,66,275,0.1,0,0,0,1.6,0,0,0,0,0,0
171203,0,0,5,100,89.3,74,310,0.1,0,0,0,1.7,0,0,0,0,0,0
171204,0,0,5,100,87.7,85,356,0.1,0,0,0,1.1,0,0,0,0,0,0
171301,0,0,5,100,89.5,66,266,1.6,0,0,0,5.2,0,0,0,0,0,0
171302,0,0,5,100,88.2,79,335,0,0,0,0,0,0,0,0,0,0,0
171303,0,0,5,100,94,37,130,1.6,0,0,0,1.5,0,0,0,0,0,0
171304,0,0,5,100,86.2,91,356,1.6,0,0,0,1,0,0,0,0,0,0
171305,0,0,5,100,94.8,36,151,0,0,0,0,1.3,0,0,0,0,0,0
171306,0,0,5,100,85,99,326,2,0,0,0,0.4,0,0,0,0,0,0
171307,0,0,5,100,87.7,85,356,0,0,0,0,4.2,0,0,0,0,0,0
171308,0,0,5,100,94.3,36,130,1.3,0,0,0,1.7,0,0,0,0,0,0
172101,0,0,5,100,65.8,239,1000,0,0,0,0,1.3,0,0,0,0,0,0
172102,0,0,5,100,57.3,298,1247,0,0,0,0,7.6,0,0,0,0,0,0
172103,0,0,5,100,69.2,216,904,0,0,0,0,0,0,0,0,0,0,0
172104,0,0,5,100,49.7,351,1473,0,0,0,0,0.5,0,0,0,0,0,0
172105,0,0,5,100,55.4,312,1305,0,0,0,0,0,0,0,0,0,0,0
172106,0,0,5,100,57.9,295,1234,0,0,0,0,0.1,0,0,0,0,0,0
172107,0,0,5,100,66.1,237,992,0,0,0,0,0.7,0,0,0,0,0,0
172108,0,0,5,100,67.6,227,950,0,0,0,0,0,0,0,0,0,0,0
172109,0,0,5,100,66,238,996,0,0,0,0,0.8,0,0,0,0,0,0
172110,0,0,5,100,56.6,304,1272,0,0,0,0,0,0,0,0,0,0,0
172111,0,0,5,100,59,287,866,0,0,0,0,0,0,0,0,0,0,0
172112,0,0,5,100,51,343,1435,0,0,0,0,0,0,0,0,0,0,0
172113,0,0,5,100,55,315,1318,0,0,0,0,0.3,0,0,0,0,0,0
172114,0,0,5,100,55.2,314,1314,0,0,0,0,0,0,0,0,0,0,0
172115,0,0,5,100,55.1,314,1314,0,0,0,0,0,0,0,0,0,0,0
172116,0,0,5,100,52.8,330,1381,0,0,0,0,0,0,0,0,0,0,0
172117,0,0,5,100,52.8,330,1381,0,0,0,0,0.1,0,0,0,0,0,0
172118,0,0,5,100,55,315,1318,0,0,0,0,0,0,0,0,0,0,0
172119,0,0,5,100,48,364,1523,0,0,0,0,0.2,0,0,0,0,0,0
172120,0,0,5,100,51.6,339,1418,0,0,0,0,0,0,0,0,0,0,0
172121,0,0,5,100,51,343,1435,0,0,0,0,0.4,0,0,0,0,0,0
172122,0,0,5,100,62.8,260,1222,0,0,0,0,0.1,0,0,0,0,0,0
172123,0,0,5,100,59.5,284,1188,0,0,0,0,0.6,0,0,0,0,0,0
172124,0,0,5,100,57.6,297,1243,0,0,0,0,0.3,0,0,0,0,0,0
172125,0,0,5,100,50.9,344,1439,0,0,0,0,0,0,0,0,0,0,0
172126,0,0,5,100,50.9,344,1439,0,0,0,0,0.8,0,0,0,0,0,0
173101,0,0,5,100,88,84,351,0,0,0,0,0,0,0,0,0,0,0
173102,0,0,5,100,88.6,80,335,0,0,0,0,0,0,0,0,0,0,0
173103,0,0,5,100,94.1,37,130,1.5,0,0,0,1.4,0,0,0,0,0,0
173104,0,0,5,100,91.9,57,238,0,0,0,0,0,0,0,0,0,0,0
