Fcode,cmfp,dash,ahei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
45304,2,2,1,观达菜[根达菜，牛皮菜],83,95.1,14,59,1.7,0.3,2.1,1,260
45305,2,2,1,胡萝卜缨(红),100,82.2,40,167,1.7,0.4,11.3,4,74.6
45306,2,2,1,苦菜[节节花，拒马菜],100,85.3,35,146,2.8,0.6,10,5.4,8.7
45307,2,2,1,萝卜缨(白),100,90.7,14,59,2.6,0.3,1.7,1.4,
45308,2,2,1,萝卜缨(青),100,87.2,32,134,3.1,0.1,7.6,2.9,91.4
45309,2,2,1,萝卜缨(小萝卜),93,92.8,20,84,1.6,0.3,4.1,1.4,43.1
45310,2,2,1,落葵[木耳菜，软浆菜],76,92.8,20,84,1.6,0.3,4.3,1.5,47.2
45311,2,2,1,芹菜(白茎)[旱芹，药芹],66,94.2,14,59,0.8,0.1,3.9,1.4,73.8
45312,2,2,1,芹菜茎,67,93.1,20,84,1.2,0.2,4.5,1.2,159
45313,2,2,1,芹菜叶,100,89.4,31,130,2.6,0.6,5.9,2.2,83
45314,2,2,1,生菜(牛俐)[油麦菜],81,95.7,15,63,1.4,0.4,2.1,0.6,80
45315,2,2,1,生菜(叶用莴苣),94,95.8,13,54,1.3,0.3,2,0.7,32.8
45316,2,2,1,甜菜叶,100,92.2,19,80,1.8,0.1,4,1.3,201
45317,2,2,1,香菜[芫荽],81,90.5,31,130,1.8,0.4,6.2,1.2,48.5
45318,2,2,1,香菜(脱水),100,9.3,293,1226,7.4,1.3,71.2,8.2,1217.5
45319,2,2,1,苋菜(绿),74,90.2,25,105,2.8,0.3,5,2.2,32.4
45320,2,2,1,苋菜(紫)[红苋],73,88.8,31,130,2.8,0.4,5.9,1.8,42.3
45321,2,2,1,茼蒿[蓬蒿菜，艾菜],82,93,21,88,1.9,0.3,3.9,1.2,161.3
45322,2,2,1,茴香[小茴香],86,91.2,24,100,2.5,0.4,4.2,1.6,186.3
45323,2,2,1,荠菜[蓟菜，菱角菜],88,90.6,27,113,2.9,0.4,4.7,1.7,31.6
45324,2,2,1,莴笋[莴苣],62,95.5,14,59,1,0.1,2.8,0.6,36.5
45325,2,2,1,莴笋叶[莴苣叶],89,94.2,18,75,1.4,0.2,3.6,1,39.1
45326,2,2,1,蕹菜[空心菜，藤藤菜],76,92.9,20,84,2.2,0.3,3.6,1.4,94.3
45401,2,2,1,竹笋,63,92.8,19,79,2.6,0.2,3.6,1.8,0.4
45402,2,2,1,白笋(干),64,10,196,820,26,4,57.1,43.2,0.7
45403,2,2,1,鞭笋[马鞭笋],45,90.1,11,46,2.6,,6.7,6.6,4.6
45404,2,2,1,春笋,66,91.4,20,84,2.4,0.1,5.1,2.8,6
45405,2,2,1,冬笋,39,88.1,40,167,4.1,0.1,6.5,0.8,
45406,2,2,1,黑笋(干),76,14.4,213,891,17.6,2.4,57.5,27.2,6.2
45407,2,2,1,毛笋[毛竹笋],67,93.1,21,88,2.2,0.2,3.8,1.3,5.2
45408,2,2,1,玉兰片,100,78,43,180,2.6,0.4,18.6,11.3,1.9
45409,2,2,1,百合,82,56.7,162,678,3.2,0.1,38.8,1.7,6.7
45410,2,2,1,百合(干),100,10.3,343,1435,6.7,0.5,79.5,1.7,37.3
45411,2,2,1,百合(脱水),100,9.9,343,1435,8.1,0.1,79.1,1.7,69.8
45412,2,2,1,金针菜[黄花菜],98,40.3,199,833,19.4,1.4,34.9,7.7,59.2
45413,2,2,1,菊苣,100,93.8,17,70,1.3,0.2,3.4,0.9,22
45414,2,2,1,芦笋[石刁柏，龙须菜],90,93,19,79,1.4,0.1,4.9,1.9,3.1
46001,2,2,1,慈菇[乌芋，白地果],89,73.6,94,393,4.6,0.2,19.9,1.4,39.1
46002,2,2,1,豆瓣菜[西洋菜，水田芥],73,94.5,17,71,2.9,0.5,1.5,1.2,61.2
46003,2,2,1,菱角(老)[龙角],57,73,98,410,4.5,0.1,21.4,1.7,5.8
46004,2,2,1,藕[莲藕],88,80.5,70,293,1.9,0.2,16.4,1.2,44.2
46005,2,2,1,蒲菜[香蒲，甘蒲，野茭白],12,95,12,50,1.2,0.1,2.4,0.9,
