Foodcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
082308,牛肉（清香）,9.5,4,4.9,0.6,,
082309,牛腱子（香叶）,5,2.2,2.6,0.3,,
082310,牛肉干（长富牌）,4.9,2.5,2.1,0.2,,
082311,牛肉干（沙爹牌）,,,,,,
083113,羊肉（上脑）,,,,,,
083114,羊肉（腰窝）,,,,,,
083115,羊肉（前腿）,,,,,,
083116,羊肉（后腿）,,,,,,
083117,羊肉片,,,,,,
083309,烧羊肉（五香）,4.8,1.5,2.6,0.7,,
083310,羊肉串（生）,4.3,1.9,1.9,0.4,,
084304,驴肉（五香）,5.3,2.3,2.6,0.5,,
089006,鹿肉（梅花鹿）,1.2,0.5,0.4,0.2,,
091112,鸡胸脯肉,1.8,1,0.7,0.1,,
091113,鸡腿,6.8,2.4,3.8,0.6,,
091114,鸡翅,10.9,5.6,5.1,0.1,,
091115,鸡块（带浆块）,8.6,3.1,4.4,1.1,,
091116,野山鸡,1.9,0.7,0.8,0.4,,
091308,扒鸡（五香脱骨）,10.2,2.4,5,1.9,,
091309,烤鸡,16,4.1,8.6,3.2,,
091310,童子鸡（熟）,17.1,5.4,7.4,4.3,,
092214,鸭豉片,,,,,,
092307,烤鸭（老唐牌）,23.9,8.9,10.9,4.1,,
092308,烤鸭（全聚德牌）,,,,,,
093302,腊鹅,20.3,7.2,9.7,2.7,,
094301,火鸡腿,,,,,,
099003,乳鸽,32.2,5.3,19.4,7.5,,
099004,乳鸽（红烧）,19.7,4.4,12.4,2.8,,
101105,牛乳（光明牌）,3,2,0.8,0.1,,
101106,牛乳（乐百氏牌）,3.6,2.3,1.1,0.1,,
101107,牛乳（帕玛拉特牌）,2.9,1.9,0.9,0.1,,
101108,牛乳（三元牌）,3.7,2.4,1.1,0.1,,
101109,牛乳（完达山牌）,3,2.4,0.5,0.1,,
101110,牛乳（龙丹牌）,3.6,2.3,1,0.1,,
101111,牛乳（蒙牛牌）,3.5,2.2,1.2,0.1,,
101112,牛乳（新南洋牌）,3.6,2.3,1.1,0.1,,
101113,牛乳（帕玛拉特）,3,1.9,0.9,0.1,,
101114,牛乳（伊利牌）,3.5,2.3,1.1,0.1,,
101115,牛乳（部分脱脂，帕玛拉特）,1.2,0.9,0.3,,,
101116,牛乳（脱脂，帕玛拉特）,0.2,0.1,0.1,,,
101117,牛乳（强化锌、钙，帕玛拉特）,2.9,1.9,0.8,0.1,,
101118,牛乳（草莓味，卡夫牌）,2.8,1.8,0.7,0.1,,
101119,牛乳（巧克力味，卡夫牌）,3,1.9,1,0.1,,
101120,牛乳（巧克力味，三元牌）,2.6,1.8,0.7,0,,
101121,学生奶,2.5,1.8,0.7,,,
102105,全脂奶粉（雀巢）,,,,,,
102106,全脂奶粉（三鹿牌）,28,16.6,9.2,0.9,,
102107,全脂奶粉（伊利牌）,24.6,15.2,8.3,1,,
102108,全脂甜奶粉（三鹿牌）,19.9,12.2,6.3,0.4,,
102109,全脂甜奶粉（伊利牌）,19.8,15.2,4.2,0.4,,
102110,低脂奶粉（高铁高钙，雀巢）,,,,,,
102111,低脂奶粉（高铁高钙，伊利牌）,10.4,7.5,2.6,0.2,,
102112,高钙高铁奶粉（可淇牌）,,,,,,
102113,"儿童奶粉（安儿健A+,美赞臣）",,,,,,
102114,儿童奶粉（适体健，美赞臣）,,,,,,
102115,儿童奶粉（惠氏）,,,,,,
102116,儿童奶粉（可淇牌）,,,,,,
102117,儿童奶粉（三鹿牌）,16.5,8.5,5.2,2.2,,
102118,儿童奶粉（完达山牌）,18,9.2,5.3,2.6,,
102119,孕妇母乳奶粉（惠氏）,,,,,,
102120,孕妇母乳奶粉（美赞臣）,,,,,,
102121,中老年奶粉（可淇牌）,,,,,,
102122,中老年奶粉（雀巢牌）,,,,,,
