Fcode,cmfp,dash,hei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
131202,,,,较大婴儿配方奶粉（安婴宝，美赞臣）,100,,447,1869,15.2,16.2,60,,
131203,,,,较大婴儿配方奶粉（安婴宝A+，美赞臣）,100,,453,1894,15.9,16.3,61,,
131204,,,,较大婴儿配方奶粉（健儿乐，惠氏）,100,,476,2018,18,20,56,,
131205,,,,较大婴儿配方奶粉（健儿乐，惠氏，金装）,100,,476,2018,18,20,56,,
131206,,,,较大婴儿配方奶粉（可淇牌）,100,4,449,1879,15,21,50,,
131207,,,,较大婴儿配方奶粉（美素乐2）,100,3,475,1990,15,21,56,2.6,
131208,,,,较大婴儿配方奶粉（美素乐，全能装）,100,3,480,2020,15,21.5,57.3,,
131209,,,,较大婴儿配方奶粉（美素乐，袋装）,100,3,480,2008,15,21.5,57.3,,
131210,,,,较大婴幼儿配方奶粉（吉利蜜2，森永牌）,100,3,472,1975,18,20,55,,
131211,,,,较大婴幼儿配方奶粉（力多精2，雀巢）,100,3,464,1941,20.4,19,52.8,,
131212,,,,较大婴儿配方奶粉（圣元牌）,100,,483,2021,15,23,54,,
131213,,,,较大婴儿配方奶粉（高钙，圣元牌）,100,,483,2019,15,22.5,55,,
131214,,,,较大婴儿配方奶粉（完达山牌）,100,,454,1899,18,18,55,,
131301,,,,幼儿奶粉（爱力大3，美赞臣）,100,,454,1900,16.6,16.3,60,,
131302,,,,幼儿奶粉（安儿宝，美赞臣）,100,,447,1870,17.8,15,61,,
131303,,,,幼儿奶粉（安儿宝A+，美赞臣）,100,,450,1881,17.8,15,61,,
131304,,,,幼儿奶粉（惠氏）,100,,454,1925,15.8,15.8,62.1,,
131305,,,,幼儿奶粉（惠氏，金装）,100,,456,1925,15.8,16,62.1,,
131306,,,,幼儿奶粉（可淇牌）,100,4,462,1933,16.5,18,58.5,,
131307,,,,幼儿奶粉（美素高）,100,2.8,440,1900,22.1,18.4,49.1,2.7,
131308,,,,幼儿奶粉（美素高，全能装）,100,3,448,1900,22.1,18.4,48.6,,
131309,,,,幼儿奶粉（美素高，袋装）,100,3,450,1900,22.1,18.4,48.6,,
131310,,,,幼儿奶粉（雀巢）,100,3,464,1941,21.6,19,51.6,,
131311,,,,幼儿奶粉（雀巢金牌）,100,3,463,1940,18.5,18,56.8,,
131312,,,,幼儿奶粉（森永牌）,100,3,458,1914,20,17.5,55,,
131313,,,,幼儿奶粉（圣元牌）,100,,453,1893,17.5,18.5,54,,
132001,,,,胡萝卜苹果泥（亨氏）,100,89,39,162,0.5,0.1,10.1,1.1,
132002,,,,鸡肝蔬菜泥（亨氏）,100,82.5,76,319,4,2.2,10.7,0.6,
132003,,,,香甜胡萝卜泥（亨氏）,100,90.7,27,114,1,0.2,7.6,2.2,
133009,,,,米粉（雀巢）,100,,376,1574,6.1,2.5,83.9,,
133010,,,,米粉（高蛋白，雀巢）,100,2.5,409,1711,15,9,67,,
133011,,,,米粉（高蛋白，亨氏）,100,3.1,375,1570,15.7,2,75.9,2.3,
133012,,,,米粉（苹果，雀巢）,100,2.5,374,1566,5.4,2.8,81.9,,
133013,,,,米粉（蔬菜，亨氏）,100,3,394,1649,10,3,81.8,,
133014,,,,米粉（蔬菜，雀巢）,100,2.5,373,1561,6.7,3.2,79.4,,
133015,,,,米粉（胡萝卜，亨氏）,100,3.5,386,1616,5,1.5,88.2,,
133016,,,,米粉（胡萝卜，雀巢）,100,2.5,374,1564,6.4,4.1,77.8,,
133017,,,,米粉（番茄，亨氏）,100,3,391,1635,6.2,2,87,,
